time,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,ctxt,btime,processes,procs_running,procs_blocked,cpus,sda.reads,sda.reads_merged,sda.read_sectors,sda.read_time_ms,sda.writes,sda.writes_merged,sda.write_sectors,sda.write_time_ms,sda.io_in_progress,sda.io_time_ms,sda.io_queued_ms
2015-01-04T18:16:15.957281Z,2245733,0,867809,25721771,10158,49277,0,0,0,0,3849787771,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:16.069710Z,2245787,0,867819,25721771,10158,49280,0,0,0,0,3849792718,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:16.172420Z,2245837,0,867828,25721771,10158,49284,0,0,0,0,3849797326,1420347116,160710,105,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:16.278531Z,2245888,0,867837,25721771,10158,49287,0,0,0,0,3849802210,1420347116,160710,104,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:16.384347Z,2245939,0,867846,25721771,10158,49290,0,0,0,0,3849807227,1420347116,160710,104,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:16.485529Z,2245973,0,867869,25721771,10158,49292,0,0,0,0,3849989196,1420347116,160710,101,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:16.588494Z,2246001,0,867899,25721771,10158,49293,0,0,0,0,3850227872,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:16.691887Z,2246044,0,867914,25721771,10158,49296,0,0,0,0,3850326916,1420347116,160710,96,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:16.794978Z,2246067,0,867948,25721771,10158,49296,0,0,0,0,3850693616,1420347116,160710,101,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:16.895883Z,2246082,0,867967,25721796,10158,49296,0,0,0,0,3850858595,1420347116,160710,3,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:16.996448Z,2246095,0,867973,25721837,10158,49296,0,0,0,0,3850859417,1420347116,160710,3,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:17.098734Z,2246116,0,867980,25721869,10158,49297,0,0,0,0,3850869355,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:17.200377Z,2246164,0,867989,25721869,10158,49300,0,0,0,0,3850873658,1420347116,160710,89,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:17.304345Z,2246215,0,867998,25721869,10158,49303,0,0,0,0,3850878321,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:17.407884Z,2246265,0,868006,25721869,10158,49307,0,0,0,0,3850882427,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:17.510716Z,2246314,0,868015,25721869,10158,49310,0,0,0,0,3850886493,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:17.613482Z,2246356,0,868032,25721869,10158,49312,0,0,0,0,3851009397,1420347116,160710,101,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:17.716148Z,2246383,0,868062,25721869,10158,49313,0,0,0,0,3851301402,1420347116,160710,104,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:17.817758Z,2246432,0,868071,25721869,10158,49317,0,0,0,0,3851306108,1420347116,160710,98,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:17.919676Z,2246464,0,868096,25721869,10158,49318,0,0,0,0,3851503013,1420347116,160710,101,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:18.022080Z,2246490,0,868127,25721869,10158,49319,0,0,0,0,3851817645,1420347116,160710,104,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:18.123098Z,2246524,0,868135,25721886,10158,49321,0,0,0,0,3851821149,1420347116,160710,3,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
